자산,분류,수량,자산가치,매수가,현재가,손익,배당월,투자배당률
AMD,첨단 기술,47.0,"$9,525.96",$113.58,$202.68,"+$4,187.70 (+78.45%)",-,-
현대차우,경기 소비재,50.0,"₩12,500,000",₩100,201,"₩250,000","+₩7,489,950 (+149.50%),4,6,9,12,13.52% (₩677",500)
SOL/KRW,가상자산,106.0,"₩14,469,000",₩187,860,"₩136,500","₩-5,444,160 (-27.34%),-",-
SK리츠,부동산,2000.0,"₩12,680,000",₩4,002,"₩6,340","+₩4,676,000 (+58.42%),3,6,10,12,6.7% (₩536",000)
KODEX 미국30년국채울트라(H),ETF,1351.0,"₩10,139,255","₩8,408","₩7,505","₩-1,219,953 (-10.74%)",-,-
신한서부티엔디리츠,부동산,2468.0,"₩10,846,860",₩3,747,"₩4,395","+₩1,599,264 (+17.29%),3,9,6.94% (₩641",680)
이지스밸류플러스리츠,부동산,2298.0,"₩9,502,230",₩4,335,"₩4,135","₩-459,600 (-4.61%),6,12,7.95% (₩792",111)
LINK/USD,가상자산,773.0,"$7,142.52",$12.89,$9.24,"-$2,821.45 (-28.32%)",-,-
KODEX 미국S&P500헬스케어,헬스케어,600.0,"₩8,166,000","₩10,155","₩13,610","+₩2,073,000 (+34.02%)",-,"1.89% (₩115,200)"
엘오티베큠,산업재,512.0,"₩7,040,000",₩16,380,"₩13,750","₩-1,346,560 (-16.06%),5,1.22% (₩102",400)
현대건설,유틸리티,56.0,"₩8,394,400",₩56,946,"₩149,900","+₩5,205,424 (+163.23%),4,1.05% (₩33",600)
AMZN,IT,20.0,"$4,202.80",$127.13,$210.14,"+$1,660.20 (+65.30%)",-,-
TIGER 코스피고배당,채권,203.0,"₩5,027,295",₩14,980,"₩24,765","+₩1,986,355 (+65.32%),2,5,8,11,4.16% (₩126",469)
TIGER 미국초단기국채,채권,464.0,"₩4,707,280","₩9,654","₩10,145","+₩227,824 (+5.09%)",월배당,"3.11% (₩408,600)"
LLY,헬스케어,3.0,"$2,731.65",$453.16,$910.55,"+$1,372.17 (+100.93%)","3,6,9,12",1.53%
미래에셋현금성자산,현금,1.0,"₩4,424,654",-,-,+₩0 (+0%),-,-
KODEX TRF3070,채권,244.0,"₩3,506,280","₩12,340","₩14,370","+₩495,320 (+16.45%)",월배당,"1.15% (₩34,648)"
TIGER 글로벌멀티에셋TIF,채권,242.0,"₩2,992,330","₩9,639","₩12,365","+₩659,692 (+28.28%)",월배당,"4.36% (₩101,640)"
MSFT,IT,5.0,"$1,915.00",$331.83,$383.00,+$255.85 (+15.42%),"3,6,9,12",1.1%
TIGER 미국달러단기채권,채권,213.0,"₩2,970,285",₩13,415,"₩13,945","+₩112,890 (+3.95%),1~12,2.65% (₩75",828)
TIGER 글로벌AI사이버보안,첨단 기술,129.0,"₩1,544,775","₩13,938","₩11,975","-₩253,227 (-14.08%)",-,-
GOOGL,IT,3.0,$906.18,$298.68,$302.06,+$10.14 (+1.13%),"3,6,9,12",0.28%
KRW 현금,현금,640695.0,"₩640,695",-,-,+₩0 (+0%),-,-
삼성SDI,경기 소비재,1.0,"₩397,500",₩204,417,"₩397,500","+₩193,083 (+94.46%),4,0.49% (₩1",000)
RTX,첨단 기술,1.0,$194.82,$74.51,$194.82,+$120.31 (+161.47%),"3,6,9,12",3.65%
PLTR,IT,1.0,$160.84,$170.58,$160.84,-$9.74 (-5.71%),-,-
HANARO 글로벌금채굴기업,채권,4.0,"₩118,080",₩13,280,"₩29,520","+₩64,960 (+122.29%),-",-
세아베스틸지주,소재,1.0,"₩68,900",₩25,654,"₩68,900","+₩43,246 (+168.57%),4,4.68% (₩1",200)
LG에너지솔루션,경기 소비재,56.0,"₩21,980,000",₩404,000,"₩392,500","₩-644,000 (-2.85%),-",-
현대차우,경기 소비재,80.0,"₩20,000,000",₩248,500,"₩250,000","+₩120,000 (+0.60%),4,6,9,12,0.96% (₩160",000)
KODEX 증권,금융,100.0,"₩1,593,500",₩24,355,"₩15,935","₩-842,000 (-34.57%),-",-
